499151,-1.62552,-9.32441,1.92865,5.30132,1.60688,-7.86958
499168,-1.77855,-9.35874,2.0601,5.34841,1.54508,-7.79012
499185,-1.60197,-9.37738,1.89137,5.31506,1.49701,-7.93923
499202,-1.50682,-9.24789,2.05029,5.25816,1.57843,-7.79012
499218,-1.52153,-9.17137,2.0601,5.34449,1.6314,-7.75775
499239,-1.59707,-9.32931,2.00811,5.49752,1.59314,-7.71949
499256,-1.74029,-9.50295,1.85409,5.56423,1.44403,-7.92059
499273,-1.75501,-9.55592,1.75599,5.52597,1.34691,-8.07559
499290,-1.78346,-9.65696,1.68634,5.52107,1.2704,-8.15015
499312,-1.62552,-9.61772,1.70498,5.57404,1.22233,-8.05205
499329,-1.62159,-9.57947,1.74618,5.51616,1.33808,-7.94414
499345,-1.69222,-9.64225,1.7658,5.60249,1.39106,-8.07559
499362,-1.76874,-9.58928,1.807,5.58385,1.32337,-8.00986
499384,-1.66868,-9.52649,1.73735,5.45436,1.34691,-7.93531
499401,-1.54017,-9.28615,1.74618,5.32487,1.4872,-7.79012
499417,-1.53036,-8.93004,1.90118,5.17183,1.549,-7.58411
499433,-1.42539,-8.50233,2.11111,4.99427,1.81387,-7.25646
499455,-1.23017,-8.19037,2.48487,4.76962,2.14643,-6.95725
499472,-0.991791,-7.73813,2.59671,4.34779,2.28573,-6.7326
499489,-0.643536,-7.49778,2.46623,3.98777,2.30535,-6.59722
499506,-0.267813,-6.49226,2.34459,3.43742,2.59867,-5.81144
499528,-0.148131,-6.1803,2.31222,3.06366,2.15133,-5.67607
499545,-1.12521,-5.88208,2.37304,3.37954,2.21902,-5.26405
499561,-1.70203,-5.38177,2.2514,3.76802,2.35342,-4.80592
499578,-2.33576,-7.07399,0.989829,5.54069,2.685,-5.72708
499600,-2.24551,-6.91605,-0.070632,5.64075,0.23544,-5.47496
499617,-3.00873,-8.57983,-2.46721,5.95271,-1.61767,-6.55995
499634,-2.73699,-9.19001,-2.54668,5.78496,-2.96066,-7.02788
499650,-2.32693,-10.1269,-2.14447,5.33468,-2.95085,-7.81857
499672,-1.96396,-10.738,-2.38775,5.7516,-2.93221,-8.58081
499689,-0.720054,-10.8577,-3.50413,5.78496,-3.65423,-9.29105
499706,-0.014715,-10.7949,-4.41058,5.06588,-4.26048,-9.52061
499722,0.061803,-10.8194,-4.98937,4.97956,-4.29384,-9.86984
499744,-0.486576,-10.9833,-5.06,5.00408,-5.01585,-9.35678
499762,-0.939798,-10.2377,-6.67571,4.43902,-7.14855,-7.34082
499778,1.19093,-10.0984,-6.01255,2.0238,-6.02726,-9.0203
499795,-1.41656,-9.34403,-5.13946,4.84614,-4.96778,-8.24334
499817,-3.57084,-10.43,-5.30231,5.22873,-5.61328,-8.24334
499834,-0.02943,-11.1559,-5.62505,3.8877,-5.70452,-9.69326
499851,1.2959,-8.26689,-5.91935,0.897615,-5.75258,-8.81428
499867,0.977076,-7.7862,-5.5505,0.495405,-5.57012,-8.10797
499890,-5.18164,-11.257,-1.962,4.95111,-4.08194,-7.75775
499907,-2.9842,-12.0692,-6.02236,8.74562,-6.95627,-8.15015
499924,0.995715,-6.07435,-7.12402,2.23472,-6.71495,-6.66295
499940,-0.67689,-6.21365,-5.92818,4.01229,-4.75589,-6.77969
499962,0.895653,-9.93459,-1.6677,3.09211,-1.94042,-8.72992
499980,1.1154,-9.19982,-3.44331,2.76642,-4.40469,-8.15505
499996,-0.543474,-9.98756,-3.06464,3.30793,-4.28501,-7.35554
500012,-5.9066,-7.73813,-8.97419,4.19378,-14.1902,-8.3748
